Ann. Return,Max DD,Turnover,Fitness,Threshold,Ticker,Accuracy
0.3945,0.291,34,-0.2857,0.58,UNITEDPOLY,0.896
0.0626,0.1087,46,-0.2863,0.58,JINDALSTEL,0.8343
0.2395,0.1931,49,-0.2867,0.58,SCHNEIDER,0.8286
0.1338,0.123,61,-0.2874,0.58,CERA,0.7586
0.2258,0.1614,66,-0.2878,0.58,FEL,0.815
0.0891,0.1375,36,-0.2887,0.58,NYKAA,0.8457
0.5038,0.3333,44,-0.2892,0.58,GAYAHWS,0.7816
0.1104,0.1302,49,-0.29,0.58,OBEROIRLTY,0.8229
0.212,0.1668,59,-0.2911,0.58,NDRAUTO,0.7586
0.0864,0.1005,62,-0.2919,0.58,DMART,0.7771
0.0682,0.1009,56,-0.2928,0.58,TATASTEEL,0.7955
0.1142,0.1317,51,-0.294,0.56,UNITDSPR,0.8068
0.1197,0.1352,50,-0.2943,0.58,MONTECARLO,0.7701
0.0316,0.1073,39,-0.2945,0.56,CIPLA,0.76
0.1499,0.1537,48,-0.2946,0.56,ACUTAAS,0.8514
0.2732,0.2118,51,-0.2952,0.58,IDBI,0.8636
0.2558,0.1806,67,-0.2957,0.54,EDELWEISS,0.7614
0.082,0.1305,41,-0.2961,0.58,CHEVIOT,0.8
0.0837,0.1285,43,-0.2961,0.58,POLYPLEX,0.8057
0.2036,0.1801,49,-0.2966,0.58,ZENTEC,0.84
0.1538,0.1478,54,-0.2979,0.58,GRPLTD,0.815
0.3749,0.2739,44,-0.298,0.58,DENTA,0.733
0.2425,0.2094,43,-0.2992,0.58,AFFLE,0.84
0.1777,0.1629,53,-0.2995,0.58,ATULAUTO,0.7771
0.1842,0.1519,63,-0.2996,0.54,SCILAL,0.7143
0.1675,0.1491,59,-0.3002,0.58,KIRLOSIND,0.7816
0.2652,0.2073,53,-0.3008,0.58,SUNTECK,0.7886
0.194,0.1787,49,-0.3027,0.54,BATAINDIA,0.7216
0.206,0.1672,61,-0.3028,0.58,INDOCO,0.7829
0.1664,0.1577,54,-0.3034,0.54,GOKULAGRO,0.7771
0.3267,0.2582,40,-0.3034,0.58,RANEHOLDIN,0.8295
0.1299,0.1519,46,-0.3045,0.58,JSWENERGY,0.8068
0.0292,0.1011,46,-0.3052,0.58,PETRONET,0.8218
0.1975,0.1708,56,-0.3058,0.58,CANTABIL,0.7803
0.2543,0.2026,54,-0.3069,0.56,SRHHYPOLTD,0.7457
0.0658,0.1044,58,-0.3078,0.58,VINATIORGA,0.7784
0.1115,0.1531,40,-0.3083,0.58,SOUTHBANK,0.8182
0.2292,0.195,52,-0.3086,0.56,GVT&D,0.7955
0.217,0.1748,62,-0.3087,0.58,MAITHANALL,0.7955
0.196,0.1865,46,-0.3091,0.58,MINDACORP,0.8448
0.2146,0.1959,47,-0.3106,0.56,GODREJPROP,0.8068
0.2016,0.1833,51,-0.3108,0.58,TOLINS,0.7486
0.2259,0.2048,44,-0.3108,0.58,CHEMCON,0.763
0.357,0.2297,73,-0.3108,0.52,SPMLINFRA,0.7543
0.1502,0.1601,49,-0.3116,0.54,KUANTUM,0.711
0.1866,0.162,61,-0.3118,0.58,INDIACEM,0.7657
0.2288,0.19,56,-0.3122,0.58,SURANASOL,0.7759
0.1854,0.1638,60,-0.3136,0.56,PANAMAPET,0.8229
0.0862,0.1431,40,-0.3136,0.58,MOTHERSON,0.8239
0.1634,0.137,72,-0.3151,0.58,RPOWER,0.6932
0.0935,0.1334,50,-0.3153,0.52,PNB,0.8125
0.3833,0.2646,59,-0.3155,0.58,EMKAY,0.7759
0.1162,0.1427,51,-0.3159,0.56,DBCORP,0.7414
0.0576,0.1395,20,-0.3166,0.58,NOVARTIND,0.8476
0.5237,0.3573,44,-0.3167,0.54,WEL,0.8114
